model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,mcc,kappa,balanced_accuracy
SVM,0.9572446555819477,0.9579410840037006,0.9572446555819477,0.9571286817337933,0.9562582948369155,0.9487877174005565,0.9486083201978373,0.9554136213146108
XGBoost,0.9382422802850356,0.939195783130137,0.9382422802850356,0.9380639216892577,0.9376237257365624,0.9260257275030248,0.9257614293119402,0.9366706445027231
Random Forest,0.9273837801153716,0.9284686986869028,0.9273837801153716,0.9272021273825408,0.9255215752538141,0.9129580151373284,0.9127026939109985,0.9243446357849986
