precision,recall,f1-score,support
0.9545454545454546,0.9737903225806451,0.9640718562874252,496.0
0.9322381930184805,0.9639065817409767,0.9478079331941545,471.0
0.9746835443037974,0.9166666666666666,0.9447852760736196,420.0
0.967391304347826,0.9063136456211812,0.935856992639327,491.0
0.9232142857142858,0.9718045112781954,0.9468864468864469,532.0
0.9962894248608535,1.0,0.9981412639405205,537.0
0.9259962049335864,0.9838709677419355,0.9540566959921799,496.0
0.9311827956989247,0.9193205944798302,0.9252136752136753,471.0
0.9748110831234257,0.9214285714285714,0.9473684210526315,420.0
0.9273127753303965,0.8574338085539714,0.891005291005291,491.0
0.8800705467372134,0.9379699248120301,0.908098271155596,532.0
1.0,1.0,1.0,537.0
0.8934579439252337,0.9637096774193549,0.92725509214355,496.0
0.8977035490605428,0.9129511677282378,0.9052631578947369,471.0
0.9597855227882037,0.8523809523809524,0.9029003783102144,420.0
0.9145833333333333,0.8940936863543788,0.9042224510813595,491.0
0.9042357274401474,0.9229323308270677,0.9134883720930232,532.0
1.0,1.0,1.0,537.0
