,accuracy,precision_weighted,recall_weighted,f1_weighted,inference_time
XGBoost,0.9382422802850356,0.939195783130137,0.9382422802850356,0.9380639216892577,4.936890720228927e-06
SVM,0.9572446555819477,0.9579410840037006,0.9572446555819477,0.9571286817337933,0.0005818122032742845
Random Forest,0.9273837801153716,0.9284686986869028,0.9273837801153716,0.9272021273825408,5.980495845094389e-05
CNN-LSTM,0.18221920597217509,0.033203839025129966,0.18221920597217509,0.05617205143918371,0.0030399599356856796
LSTM,0.18221920597217509,0.033203839025129966,0.18221920597217509,0.05617205143918371,0.009793421354057589
CNN,0.9060061079063454,0.9087381999450215,0.9060061079063454,0.9065205072555066,0.0005098675565069151
